index,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,time_margin
37,,,,,,,,,3.855172413793103381e+00,1.363586206896551722e+01,1.230000000000000071e+01,-2.458620689655172775e+00,-3.300000000000000155e-01,-4.548275862068964948e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
38,,,,,,,,,3.786206896551724377e+00,1.365103448275862164e+01,1.230000000000000071e+01,-2.510344827586207028e+00,-3.300000000000000155e-01,-4.537931034482758363e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
39,,,,,,,,,3.717241379310344929e+00,1.366620689655172427e+01,1.230000000000000071e+01,-2.562068965517241725e+00,-3.300000000000000155e-01,-4.527586206896551779e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
40,,,,,,,,,3.648275862068965480e+00,1.368137931034482868e+01,1.230000000000000071e+01,-2.613793103448275978e+00,-3.300000000000000155e-01,-4.517241379310344307e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
41,,,,,,,,,3.579310344827586476e+00,1.369655172413793132e+01,1.230000000000000071e+01,-2.665517241379310676e+00,-3.300000000000000155e-01,-4.506896551724137723e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
42,,,,,,,,,3.510344827586207028e+00,1.371172413793103395e+01,1.230000000000000071e+01,-2.717241379310344929e+00,-3.300000000000000155e-01,-4.496551724137931139e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
43,,,,,,,,,3.441379310344827580e+00,1.372689655172413836e+01,1.230000000000000071e+01,-2.768965517241379182e+00,-3.300000000000000155e-01,-4.486206896551723666e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
44,,,,,,,,,3.372413793103448576e+00,1.374206896551724100e+01,1.230000000000000071e+01,-2.820689655172413879e+00,-3.300000000000000155e-01,-4.475862068965517082e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
45,,,,,,,,,3.303448275862069128e+00,1.375724137931034541e+01,1.230000000000000071e+01,-2.872413793103448576e+00,-3.300000000000000155e-01,-4.465517241379309610e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
46,,,,,,,,,3.234482758620689680e+00,1.377241379310344804e+01,1.230000000000000071e+01,-2.924137931034482829e+00,-3.300000000000000155e-01,-4.455172413793103026e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
47,,,,,,,,,3.165517241379310676e+00,1.378758620689655245e+01,1.230000000000000071e+01,-2.975862068965517526e+00,-3.300000000000000155e-01,-4.444827586206896441e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
48,,,,,,,,,3.096551724137931227e+00,1.380275862068965509e+01,1.230000000000000071e+01,-3.027586206896551779e+00,-3.300000000000000155e-01,-4.434482758620688969e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
49,,,,,,,,,3.027586206896551779e+00,1.381793103448275950e+01,1.230000000000000071e+01,-3.079310344827586476e+00,-3.300000000000000155e-01,-4.424137931034482385e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
